beta,gamma
0.29937980,0.08579599
0.49083250,0.15397628
0.39664302,0.13215106
0.32672935,0.07714974
0.41484441,0.11540011
0.45981654,0.13101663
0.42881243,0.13857683
0.36448206,0.10924557
0.46174149,0.12348213
0.40523493,0.13671415
0.40596377,0.09190529
0.39975664,0.11393362
0.41100088,0.13553877
0.41053789,0.13867147
0.37622095,0.13049771
0.27159869,0.06545974
0.48171584,0.15635852
0.38556430,0.08322775
0.36350074,0.08068134
0.56551857,0.13434802
0.42146312,0.11810921
0.49137554,0.13683748
0.45254656,0.09892152
0.33960565,0.07986052
0.43466752,0.10263806
0.42411651,0.13651287
0.37936950,0.09529687
0.51366521,0.14743876
0.44440847,0.11891582
0.36679247,0.09423197
0.59424866,0.15845758
0.48856622,0.14741241
0.37640794,0.13111279
0.33245304,0.11353420
0.51712861,0.14106534
0.49519331,0.12664058
0.49081443,0.13042371
0.37625847,0.12482271
0.32564197,0.07397932
0.31955345,0.08268188
0.30612298,0.08280111
0.36626577,0.10266899
0.36557974,0.10361766
0.34653548,0.10653994
0.39611909,0.14321622
0.51515188,0.14205232
0.40854940,0.12032110
0.50843615,0.14865601
0.52750535,0.15290086
0.39679218,0.09585700
0.49768796,0.15862564
0.47342379,0.13234066
0.42600888,0.11695843
0.43989998,0.11233404
0.38727518,0.10143105
0.31367676,0.07607231
0.38750744,0.10698166
0.49119427,0.14238171
0.47890185,0.13807215
0.41249038,0.10432551
0.39429743,0.09890170
0.39132481,0.10296087
0.32314485,0.09054713
0.45338946,0.12925386
0.42528353,0.14736054
0.40776820,0.12680251
0.46031583,0.14719676
0.35594800,0.08595556
0.45100192,0.12950148
